Characteristic,Overall,Non-benzo sedation,Benzodiazepine,Missing,SMD
No. of ICU stays,"4,502","3,086","1,416",,
"Age, years, median [IQR]","64.0 [53.0, 75.0]","66.0 [55.0, 76.0]","60.0 [47.0, 72.0]",0.0,-0.313
"Glasgow Coma Scale, median [IQR]","8.6 [5.4, 11.0]","9.2 [6.4, 11.2]","7.0 [3.5, 9.9]",0.0,-0.483
"Mean arterial pressure, mmHg, median [IQR]","75.4 [70.5, 81.7]","75.0 [70.5, 81.3]","76.5 [70.6, 83.0]",0.7,-0.024
"Heart rate, bpm, median [IQR]","82.9 [74.7, 94.3]","81.7 [74.5, 90.7]","88.3 [75.4, 102.0]",0.0,+0.358
"Lactate, mmol/L, median [IQR]","2.0 [1.4, 2.9]","2.0 [1.5, 2.7]","2.0 [1.4, 3.4]",9.8,+0.229
"Creatinine, mg/dL, median [IQR]","1.0 [0.8, 1.4]","0.9 [0.8, 1.3]","1.0 [0.8, 1.6]",0.8,+0.163
"Weight, kg, median [IQR]","82.8 [70.0, 98.3]","83.0 [70.6, 98.1]","81.0 [68.0, 99.0]",1.2,-0.015
"Platelets, K/uL, median [IQR]","168.8 [125.6, 223.8]","162.5 [124.1, 213.5]","184.0 [129.7, 248.1]",0.9,+0.227
"Comorbidity count, median [IQR]","3.0 [2.0, 4.0]","3.0 [2.0, 4.0]","3.0 [1.0, 4.0]",0.0,-0.191
"SOFA-lite severity score, median [IQR]","6.0 [4.0, 8.0]","6.0 [4.0, 7.0]","7.0 [5.0, 8.0]",0.0,+0.272
Sex,,,,0.0,
    Female,"1,782 (39.6)","1,209 (39.2)",573 (40.5),,+0.026
    Male,"2,720 (60.4)","1,877 (60.8)",843 (59.5),,-0.026
"Early vasopressor use, first 24 h",,,,0.0,
    No,"1,567 (34.8)","1,074 (34.8)",493 (34.8),,+0.000
    Yes,"2,935 (65.2)","2,012 (65.2)",923 (65.2),,-0.000
"Early opioid co-sedation, first 24 h",,,,0.0,
    No,522 (11.6),448 (14.5),74 (5.2),,-0.315
    Yes,"3,980 (88.4)","2,638 (85.5)","1,342 (94.8)",,+0.315
Benzodiazepine indication (alcohol/sedative/seizure),,,,0.0,
    No,"3,745 (83.2)","2,694 (87.3)","1,051 (74.2)",,-0.336
    Yes,757 (16.8),392 (12.7),365 (25.8),,+0.336
Race/ethnicity,,,,0.0,
    White,"2,616 (58.1)","1,871 (60.6)",745 (52.6),,-0.162
    Black,363 (8.1),235 (7.6),128 (9.0),,+0.052
    Hispanic,144 (3.2),104 (3.4),40 (2.8),,-0.031
    Asian,132 (2.9),96 (3.1),36 (2.5),,-0.034
    Other/Unknown,"1,247 (27.7)",780 (25.3),467 (33.0),,+0.170
Admission type,,,,0.0,
    DIRECT EMER.,190 (4.2),150 (4.9),40 (2.8),,-0.106
    DIRECT OBSERVATION,0 (0.0),0 (0.0),0 (0.0),,+0.000
    ELECTIVE,312 (6.9),283 (9.2),29 (2.0),,-0.313
    EU OBSERVATION,0 (0.0),0 (0.0),0 (0.0),,+0.000
    EW EMER.,"1,766 (39.2)",978 (31.7),788 (55.6),,+0.498
    OBSERVATION ADMIT,498 (11.1),377 (12.2),121 (8.5),,-0.121
    SURGICAL SAME DAY ADMISSION,606 (13.5),552 (17.9),54 (3.8),,-0.465
    URGENT,"1,130 (25.1)",746 (24.2),384 (27.1),,+0.067
Insurance,,,,1.9,
    Medicaid,683 (15.2),406 (13.2),277 (19.6),,+0.174
    Medicare,"2,292 (50.9)","1,653 (53.6)",639 (45.1),,-0.169
    Other,135 (3.0),87 (2.8),48 (3.4),,+0.033
    Private,"1,308 (29.1)",892 (28.9),416 (29.4),,+0.010
ICU unit type,,,,0.0,
    CCU,309 (6.9),139 (4.5),170 (12.0),,+0.275
    CVICU,"1,611 (35.8)","1,452 (47.1)",159 (11.2),,-0.858
    MICU,"1,014 (22.5)",389 (12.6),625 (44.1),,+0.747
    Neuro,96 (2.1),83 (2.7),13 (0.9),,-0.133
    Other,16 (0.4),9 (0.3),7 (0.5),,+0.032
    SICU,"1,456 (32.3)","1,014 (32.9)",442 (31.2),,-0.035
Admission era,,,,0.0,
    2008 - 2010,412 (9.2),263 (8.5),149 (10.5),,+0.068
    2011 - 2013,"1,252 (27.8)",730 (23.7),522 (36.9),,+0.291
    2014 - 2016,"1,472 (32.7)","1,057 (34.3)",415 (29.3),,-0.106
    2017 - 2019,948 (21.1),749 (24.3),199 (14.1),,-0.262
    2020 - 2022,418 (9.3),287 (9.3),131 (9.3),,-0.002
