Analysis,Value
"Primary NIE (IPTW x selection, VFD days)","-0.11 (-0.23, +0.02)"
"Primary TE, broad cohort (VFD days)","-1.29 (-1.64, -0.94)"
Proportion mediated,6.6%
NIE - Midazolam-only,"-0.15 (-0.28, -0.01)"
NIE - No deep sedation,"-0.12 (-0.29, +0.04)"
NIE - Exclude benzo indication,"-0.16 (-0.25, -0.03)"
NIE - Exclude CVICU,"-0.07 (-0.19, +0.00)"
NIE - Overlap weights,"-0.07 (-0.21, -0.00)"
NIE - Unweighted,"+0.06 (+0.01, +0.12)"
NIE - Landmark 24 h,"-0.05 (-0.13, -0.01)"
NIE - Landmark 72 h,"-0.05 (-0.22, +0.07)"
NIE - Sustained delirium (>=2 CAM),"-0.12 (-0.30, -0.02)"
"Low-VFD RR (total, broad)","1.17 (1.14, 1.19)"
"E-value (total, point)",1.61
"E-value (total, CI limit)",1.53
"E-value (NIE, point)",1.10
"E-value (NIE, CI limit)",1.00
