cov,pre,post
admission_type:URGENT,0.004217349257747725,0.019031391604878833
race_eth:Asian,0.0075563292662977465,0.005691365666214803
map,0.008385185295432087,0.0026395849284580756
admission_type:DIRECT OBSERVATION,0.008942643740433444,0.005130004621829538
early_vaso,0.010335977547921342,0.06742059798742724
admission_type:EU OBSERVATION,0.010942931207996965,0.0013102110002968348
careunit_grp:Other,0.015938316387313675,0.002730210623267096
careunit_grp:SICU,0.019086272958117587,0.11427406960138427
race_eth:Hispanic,0.022904525652641308,0.0039616735717704086
insurance:Private,0.05328379853585971,0.021717285538508855
weight,0.05483598802916098,0.020448619898960112
insurance:Other,0.060784408300023615,0.002715532727697728
anchor_year_group:2014 - 2016,0.06559649884880263,0.0021971841270609855
insurance:Medicare,0.0756843637812908,0.06094416672074476
anchor_year_group:2020 - 2022,0.08336389122872306,0.007614832252364315
race_eth:Black,0.08687058270875213,0.020944233814670272
female,0.08868136460657723,0.03539926148069882
careunit_grp:Neuro,0.10103121708372177,0.028743332866149496
anchor_year_group:2011 - 2013,0.11059515797442163,0.0067565135930812365
comorbidity_count,0.11459248643390675,0.06285447465895919
admission_type:DIRECT EMER.,0.11531502811439356,0.008139286350415574
race_eth:Other/Unknown,0.11621481443240045,0.036957517927961925
admission_type:OBSERVATION ADMIT,0.12222635814858974,0.00820675810915374
insurance:Medicaid,0.13785655899407454,0.05446957413338328
race_eth:White,0.1397758728395164,0.047352136270169855
anchor_year_group:2008 - 2010,0.200409373597897,0.018389981823933466
age,0.2232575515751027,0.10042576917020574
anchor_year_group:2017 - 2019,0.23032032674673333,0.02950926643285424
platelets,0.24487491152196725,0.07199076239668784
creatinine,0.25415108881712184,0.0381846545600043
early_opioid,0.2696610722835452,0.053557319569909854
lactate,0.270428989818442,0.0581743437750196
sofa_lite,0.3098727032933532,0.01933979958210454
careunit_grp:CCU,0.3154015148381809,0.02752558197641597
hr,0.3233235654071963,0.06604763115294005
admission_type:ELECTIVE,0.3410992184658746,0.10183781306158914
sud_indication,0.36054215813053525,0.0933179976641092
admission_type:SURGICAL SAME DAY ADMISSION,0.5100761261488767,0.10695692177107444
gcs,0.5208104814034449,0.12905507080869075
admission_type:EW EMER.,0.6316938471413346,0.11173989282282436
careunit_grp:MICU,0.7671221665990591,0.068672945153718
careunit_grp:CVICU,1.01142141083631,0.19798034477404064
