cov,pre,post
age,0.3126262206817095,0.15855952058998618
gcs,0.4825511528316709,0.05291960135463976
map,0.024169948585277913,0.007582824151904501
hr,0.3580733887769789,0.18895286426715335
lactate,0.2253914360568363,0.06852413958203846
creatinine,0.16342258083797473,0.022315403950224893
weight,0.02023413035287147,0.10918303330994353
platelets,0.23226226245360837,0.0582912484211957
comorbidity_count,0.19108422513216258,0.15223623486378451
sofa_lite,0.2716605047753314,0.019798232677170256
female,0.026330338318908485,0.0316829838150765
early_vaso,0.0002948420171698941,0.1453917166474293
early_opioid,0.3152685400090625,0.015778868533536147
sud_indication,0.3362423884494523,0.09274493579318868
race_eth:White,0.16226871998377299,0.071092035964388
race_eth:Black,0.051574931230497015,0.06954445704333904
race_eth:Hispanic,0.03147305768766956,0.014692872100953139
race_eth:Asian,0.03430445830572718,0.002997937991357893
race_eth:Other/Unknown,0.17019058364361409,0.11558181337225573
admission_type:DIRECT EMER.,0.10605538536140875,0.021690009250896918
admission_type:DIRECT OBSERVATION,0.0,0.0
admission_type:ELECTIVE,0.3133112289687414,0.0774884753060283
admission_type:EU OBSERVATION,0.0,0.0
admission_type:EW EMER.,0.4977872845828426,0.11256528860066699
admission_type:OBSERVATION ADMIT,0.12058325582339867,0.004619158411124624
admission_type:SURGICAL SAME DAY ADMISSION,0.46455321088356444,0.18651385203208823
admission_type:URGENT,0.0674781259109366,0.07021976423547903
insurance:Medicaid,0.17508131473029437,0.1181872525579395
insurance:Medicare,0.1564628609519969,0.07814923185758524
insurance:Other,0.04356436524227309,0.0030806654853925528
insurance:Private,0.010195968896760662,0.01276917652293719
careunit_grp:CCU,0.27514895050314564,0.07539637320302453
careunit_grp:CVICU,0.8577783024621044,0.20636035916186585
careunit_grp:MICU,0.7466432759245066,0.21039906583585
careunit_grp:Neuro,0.13340055554855823,0.008157077364245766
careunit_grp:Other,0.03240373383706017,0.00627428259235421
careunit_grp:SICU,0.03522453169651937,0.04116706770074131
anchor_year_group:2008 - 2010,0.0681850176098797,0.13992415759135693
anchor_year_group:2011 - 2013,0.29056078785429146,0.07532297056847627
anchor_year_group:2014 - 2016,0.1063212223229777,0.014843111546969295
anchor_year_group:2017 - 2019,0.26181351908610606,0.006747866993242952
anchor_year_group:2020 - 2022,0.0016771359417292297,0.07018575598253671
