cov,pre,post
age,0.2232575515751027,0.00028807356211787413
gcs,0.5208104814034449,0.000196820039014715
map,0.008385185295432087,0.0019299920139740174
hr,0.3233235654071963,1.8344621903831197e-05
lactate,0.270428989818442,4.704271622442572e-05
creatinine,0.25415108881712184,0.0001456493924012181
weight,0.05483598802916098,3.411098173612586e-05
platelets,0.24487491152196725,1.9802697394112227e-05
comorbidity_count,0.11459248643390675,0.0001324870141505005
sofa_lite,0.3098727032933532,3.6765070580075555e-05
female,0.08868136460657723,9.735746076289352e-05
early_vaso,0.010335977547921342,1.6854071298208343e-05
early_opioid,0.2696610722835452,6.621489841837813e-05
sud_indication,0.36054215813053525,3.885635450561422e-06
race_eth:White,0.1397758728395164,0.0002817108015505547
race_eth:Black,0.08687058270875213,5.930372622320985e-05
race_eth:Hispanic,0.022904525652641308,6.240177580046643e-05
race_eth:Asian,0.0075563292662977465,0.0008292838641628033
race_eth:Other/Unknown,0.11621481443240045,8.184464272116017e-05
admission_type:DIRECT EMER.,0.11531502811439356,4.378789413443126e-05
admission_type:DIRECT OBSERVATION,0.008942643740433444,1.8991402205923425e-05
admission_type:ELECTIVE,0.3410992184658746,7.980419009796749e-05
admission_type:EU OBSERVATION,0.010942931207996965,2.6543415670411533e-05
admission_type:EW EMER.,0.6316938471413346,7.87930504011689e-05
admission_type:OBSERVATION ADMIT,0.12222635814858974,6.130685962459092e-05
admission_type:SURGICAL SAME DAY ADMISSION,0.5100761261488767,0.00020324627697022163
admission_type:URGENT,0.004217349257747725,0.00022646560584231498
insurance:Medicaid,0.13785655899407454,0.0003429651357061232
insurance:Medicare,0.0756843637812908,0.00029009242875266097
insurance:Other,0.060784408300023615,7.304533911680671e-06
insurance:Private,0.05328379853585971,2.68662652289189e-05
careunit_grp:CCU,0.3154015148381809,3.65198828130181e-05
careunit_grp:CVICU,1.01142141083631,5.6507969562594456e-05
careunit_grp:MICU,0.7671221665990591,0.00015287401826144674
careunit_grp:Neuro,0.10103121708372177,5.479821670416825e-05
careunit_grp:Other,0.015938316387313675,8.987217066146847e-06
careunit_grp:SICU,0.019086272958117587,0.0002023531251145836
anchor_year_group:2008 - 2010,0.200409373597897,8.853605586188515e-05
anchor_year_group:2011 - 2013,0.11059515797442163,8.806676729532379e-05
anchor_year_group:2014 - 2016,0.06559649884880263,1.7102589356863347e-05
anchor_year_group:2017 - 2019,0.23032032674673333,1.2104636990146063e-09
anchor_year_group:2020 - 2022,0.08336389122872306,1.917471575258426e-05
